"filename", "language", "Markdown", "JavaScript", "JSON", "HTML", "vue", "SCSS", "CSS", "comment", "blank", "total"
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3-3-209406164_206259848\src\pages\MainPage.vue", "vue", 0, 0, 0, 0, 88, 0, 0, 1, 20, 109
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3-3-209406164_206259848\src\pages\MyRecipesPage.vue", "vue", 0, 0, 0, 0, 52, 0, 0, 0, 4, 56
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3-3-209406164_206259848\src\pages\NotFoundPage.vue", "vue", 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3-3-209406164_206259848\src\pages\RecipeViewPage.vue", "vue", 0, 0, 0, 0, 244, 0, 0, 5, 32, 281
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3-3-209406164_206259848\src\pages\RegisterPage.vue", "vue", 0, 0, 0, 0, 304, 0, 0, 4, 23, 331
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3-3-209406164_206259848\src\pages\SearchPage.vue", "vue", 0, 0, 0, 0, 324, 0, 0, 4, 30, 358
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3-3-209406164_206259848\src\routes.js", "JavaScript", 0, 60, 0, 0, 0, 0, 0, 0, 3, 63
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3-3-209406164_206259848\src\scss\form-style.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3-3-209406164_206259848\src\store.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 1, 4, 8
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3-3-209406164_206259848\vue.config.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 2, 2, 33
"Total", "-", 1, 510, 29522, 51, 2181, 0, 106, 79, 307, 32757
